county+AF8-name,state+AF8-abbr,value
Anson County,NC,0.03491700057241
Brunswick County,NC,0.02937898089172
Buncombe County,NC,0.02154750244858
Burke County,NC,0.01831233518898
Cabarrus County,NC,0.04506996420436
Caldwell County,NC,0.03473132372215
Camden County,NC,0.04437869822485
Catawba County,NC,0.04542606516291
Chatham County,NC,0.02535687453043
Craven County,NC,0.09310103445594
Cumberland County,NC,0.09318081626024
Currituck County,NC,0.05599493831066
Davidson County,NC,0.01943738210449
Davie County,NC,0.01026518391788
Durham County,NC,0.05561764512524
Edgecombe County,NC,0.00933216681248
Forsyth County,NC,0.03268194070081
Franklin County,NC,0.02506393861893
Gaston County,NC,0.03326667878568
Gates County,NC,0.01974333662389
Granville County,NC,0.05152224824356
Guilford County,NC,0.03867225265872
Harnett County,NC,0.07245139876719
Haywood County,NC,0.02889544819015
Henderson County,NC,0.01371669744131
Hoke County,NC,0.14111922141119
Iredell County,NC,0.05811994609164
Johnston County,NC,0.05171961144657
Jones County,NC,0.04077849860982
Lincoln County,NC,0.04307858687815
Madison County,NC,0.01626961069146
Mecklenburg County,NC,0.04994615936827
Nash County,NC,0.02051909226797
New Hanover County,NC,0.03598553345389
Onslow County,NC,0.23459215949391
Orange County,NC,0.03589353612167
Pamlico County,NC,0.04267892317794
Pender County,NC,0.03624887285843
Person County,NC,0.0267414988445
Pitt County,NC,0.07428629898701
Randolph County,NC,0.04770460875034
Rockingham County,NC,0.02760057284208
Rowan County,NC,0.03735255570118
Stokes County,NC,0.03246554364472
Union County,NC,0.0400751943946
Wake County,NC,0.04833764755558
Wayne County,NC,0.1155635354607
Yadkin County,NC,0.02709630172098
Burleigh County,ND,0.08207485226527
Cass County,ND,0.12399678972713
Grand Forks County,ND,0.16194539249147
Morton County,ND,0.04142538975501
Oliver County,ND,0.01990049751244
Cass County,NE,0.06964856230032
Dakota County,NE,0.03739061256961
Dixon County,NE,0.03166666666667
Douglas County,NE,0.04307040819061
Hall County,NE,0.01737142857143
Howard County,NE,0.01662049861496
Lancaster County,NE,0.06514706614244
Merrick County,NE,0.00593119810202
Sarpy County,NE,0.08153087526617
Saunders County,NE,0.01782178217822
Seward County,NE,0.0234521575985
Washington County,NE,0.03107861060329
Hillsborough County,NH,0.04228804902962
Rockingham County,NH,0.03140078958912
Strafford County,NH,0.03609782510604
Atlantic County,NJ,0.03280661364588
Bergen County,NJ,0.02149678088407
Burlington County,NJ,0.04515309363486
Camden County,NJ,0.03421511627907
Cape May County,NJ,0.09003244412401
Cumberland County,NJ,0.03062344139651
Essex County,NJ,0.03555229029579
Gloucester County,NJ,0.02776165602631
Hudson County,NJ,0.07214863439222
Hunterdon County,NJ,0.02150938704464
